Отметка времени,пол,возраст,кто ты?,во сколько встаете?,далеко ли живешь от института?,особенности характера,работаете?,доход,был на паре 07.08
09.09.2023 15:23:00,ж,22,сова,8.00,да,интроверт,да,доволен,да
09.09.2023 15:25:11,м,21,сова,9:00,Нет,интроверт,да,недоволен,Нет
09.09.2023 15:25:43,м,22,сова,10,да,интроверт,Нет,недоволен,да
09.09.2023 15:26:02,м,22,сова,Время когда лягу + 7 часов сна ,да,экстраверт,да,доволен,Нет
09.09.2023 15:27:41,ж,21,сова,11,да,интроверт,да,доволен,да
09.09.2023 15:29:53,м,21,сова,10,Нет,интроверт,да,доволен,Нет
09.09.2023 16:38:37,м,22,сова,6,да,экстраверт,да,недоволен,Нет
09.09.2023 16:52:04,м,22,сова,9,да,интроверт,Нет,недоволен,да
09.09.2023 19:30:08,м,22,сова,11,да,интроверт,да,доволен,Нет
09.09.2023 20:04:24,м,21,жаворонок,7:30,да,экстраверт,да,недоволен,Нет
10.09.2023 14:42:18,м,22,сова,8:30,да,экстраверт,да,доволен,да
10.09.2023 18:24:26,м,22,жаворонок,6,Нет,интроверт,да,доволен,Нет
