source,target
199361916,6460946
199361916,9789526
199361916,23965528
199361916,29736492
199361916,45893204
199361916,54141636
199361916,76542554
199361916,78846991
199361916,87761764
199361916,99780725
199361916,102615360
199361916,120706588
199361916,121198199
199361916,126342272
199361916,127059914
199361916,127880370
199361916,134429679
199361916,136004593
199361916,136131000
199361916,138933984
199361916,139711346
199361916,143337832
199361916,144785603
199361916,150078285
199361916,150650454
199361916,150820042
199361916,150842140
199361916,151244410
199361916,151328013
199361916,154050957
199361916,154279619
199361916,155367398
199361916,155672452
199361916,155834988
199361916,156364542
199361916,156518246
199361916,158732195
199361916,159226317
199361916,159872292
199361916,160953007
199361916,161253368
199361916,163404178
199361916,164447927
199361916,166137257
199361916,166148577
199361916,168420440
199361916,168726400
199361916,169180146
199361916,169964059
199361916,171062307
199361916,172224066
199361916,172980783
199361916,173983466
199361916,181888974
199361916,182548446
199361916,183025028
199361916,184166593
199361916,184272433
199361916,184825079
199361916,185410191
199361916,186304528
199361916,186739358
199361916,189694649
199361916,192229732
199361916,192519142
199361916,192595097
199361916,193064844
199361916,194005042
199361916,195292882
199361916,196656674
199361916,198216820
199361916,199100343
199361916,200554891
199361916,200707501
199361916,202038842
199361916,202191986
199361916,205507882
199361916,205748629
199361916,207227130
199361916,210063765
199361916,210517905
199361916,211392424
199361916,211632186
199361916,213814371
199361916,214253129
199361916,218290777
199361916,219689678
199361916,222345478
199361916,223041903
199361916,224772498
199361916,228479028
199361916,231360661
199361916,231534722
199361916,233747582
199361916,235097191
199361916,236092722
199361916,236853293
199361916,239495060
199361916,243317609
199361916,248826936
199361916,249050951
199361916,249274064
199361916,251381513
199361916,252927610
199361916,254972566
199361916,255413095
199361916,255521981
199361916,257233698
199361916,258604098
199361916,263082641
199361916,270682908
199361916,276637794
199361916,283062852
199361916,283718468
199361916,288863777
199361916,293203613
199361916,293321299
199361916,297546450
199361916,298503341
199361916,301863625
199361916,302870943
199361916,313976792
199361916,316811286
199361916,321371012
199361916,323156269
199361916,331206225
199361916,337813498
199361916,347486239
199361916,347736287
199361916,354743400
199361916,355632346
199361916,356135268
199361916,361169109
199361916,367024124
199361916,380405089
199361916,397520730
199361916,398298150
199361916,407518333
199361916,408937491
199361916,424244690
199361916,438022628
199361916,453395774
199361916,456941193
199361916,463184270
199361916,463788448
199361916,470311779
199361916,471485880
199361916,471512865
199361916,472326037
199361916,474923353
199361916,480079324
199361916,481818977
199361916,487340899
199361916,495696506
199361916,508279505
199361916,516820935
199361916,516833456
199361916,551766246
199361916,556145507
199361916,559496840
199361916,559878118
199361916,585084199
199361916,625131977
199361916,673941754
6460946,1625660
6460946,1993860
6460946,4952668
6460946,5105952
6460946,5816313
6460946,10156418
6460946,10345498
6460946,11305097
6460946,12063637
6460946,12209503
6460946,12278433
6460946,12673374
6460946,13494091
6460946,13728552
6460946,15029346
6460946,16130338
6460946,16304200
6460946,17610389
6460946,18466455
6460946,18665564
6460946,21811581
6460946,23335785
6460946,23721262
6460946,26690853
6460946,27148015
6460946,27169966
6460946,27370547
6460946,27684674
6460946,30233751
6460946,31255705
6460946,31814526
6460946,31890236
6460946,32368603
